,spearman,p_value,change,slope,spearman*abs-change
aight,0.1600781546021228,0.16431917214418665,-0.000169548999660902,-2.2309078902750262e-06,2.7141090980353134e-05
admin,-0.09517870615201154,0.3920452223290901,-0.0006198405489490113,-7.559031084744041e-06,-5.8995621469519476e-05
aint,-0.04943080695463692,0.6474182814449361,-0.0005333573375338008,-6.130544109583916e-06,-2.6364283589472428e-05
ama,0.01605004420226828,0.8840851936437681,-0.0006522666174014908,-7.765078778589176e-06,1.046890804095794e-05
api,-0.1591709352941631,0.1639359019873052,-0.0006520069559252064,-8.46762280422346e-06,-0.00010378055699291528
ar,-0.04992051156828689,0.6500354895608693,-0.00019663321348886617,-2.3408715891531686e-06,-9.816030608680369e-06
arse,0.18195124243612795,0.09559140418874894,-0.0004642953672544455,-5.527325800648161e-06,8.447911892928468e-05
asap,-0.008238657307328307,0.9403473629264607,-2.3578292711201425e-05,-2.80693960847636e-07,-1.9425347353946537e-07
atl,0.1006070857585475,0.3715035282590943,0.0003699177705819623,4.623972132274529e-06,3.721634886855018e-05
yall,0.03207257443641043,0.7734709155624656,-0.0001872707495790813,-2.2837896290131866e-06,6.006255055637462e-06
bye,0.003312745130117396,0.978286316446833,-8.328601932060619e-05,-1.207043758269655e-06,2.7590535491120154e-07
bday,-0.14198863256743588,0.18955925767820775,-0.0005714038010330748,-6.644230244570637e-06,-8.113284435252149e-05
bs,0.04655382018230447,0.6666843750700113,-0.0004206108314044588,-4.834607257522515e-06,1.958104101193276e-05
bc,0.2049097582280573,0.05841328817379554,-0.0006231232753243993,-7.330862062639992e-06,0.00012768403969299784
bt,0.1643292518909604,0.13055277184583117,0.00023079624872511062,2.7152499850013013e-06,3.792657489223745e-05
bw,0.38072683525266626,0.0006358805179118718,8.326532101471309e-05,1.0955963291409616e-06,3.1701342156229036e-05
bah,-0.3530719384326128,0.0008547779981225882,-0.0011702339810043083,-1.3767458600050686e-05,-0.0004131767800929045
bb,0.05113969297736767,0.6360824003635529,-0.0012089680905146925,-1.3896184948444741e-05,6.182625696835583e-05
bbl,0.369113696433878,0.00043454110121378154,0.0006160785587213451,7.1637041711784306e-06,0.00022740303410329163
bbp,-0.050764827685460416,0.6610555098222262,-0.0002585437863364648,-3.4018919254798004e-06,-1.3124930762517132e-05
bbw,-0.0974914017908069,0.3926898403210869,-0.00022675736961451246,-2.907145764288621e-06,-2.2106893830114942e-05
bd,0.0785841950668306,0.49119826876879114,-9.867443178506035e-05,-1.265056817757184e-06,7.754250795505852e-06
beech,-0.07223591371286517,0.532419943535922,-0.00041271401816750483,-5.4304476074671685e-06,-2.9812774204437747e-05
betcha,-0.07286927787406226,0.5049250217212236,-0.0006394808050059191,-7.5233035883049305e-06,-4.659850447510535e-05
bf,-0.18965385643559418,0.09412228621220838,-0.00020225300691823877,-2.5929872681825483e-06,-3.8358062737738894e-05
bfe,0.13907906690467103,0.20985688885038836,-0.0002665757259356898,-3.250923487020607e-06,3.707510322257105e-05
biz,0.22134250863873794,0.04303061246231336,-0.0003783334826282618,-4.558234730460985e-06,8.374128214696985e-05
bj,-0.44984676700594073,1.9850588640771012e-05,-0.001890042568761294,-2.304929961904017e-05,-0.0008502295390608714
bk,0.06493743079867992,0.5721763613222562,-0.000227487852955553,-2.9543877007214674e-06,1.4772476708841494e-05
bl,-0.24237385173854478,0.02542212578340768,-0.000808481884031222,-9.624784333705024e-06,-0.00019595486829348277
blogger,-0.2518070349733215,0.02008442351050757,-0.001340343539821597,-1.595647071216187e-05,-0.0003375079326081225
blu,0.09068437203672161,0.4359367635807587,-8.228110245547482e-05,-1.0970813660729975e-06,7.4616101066638865e-06
bm,-0.0742457938452601,0.5073826662337302,-0.00043846590372661207,-5.4131593052668156e-06,-3.2554249096261705e-05
bo,0.21534227080099225,0.05999303027375493,5.099573978777468e-05,6.7099657615493e-07,1.098153840707591e-05
bos,-0.1240864496863066,0.27907565435449955,-0.00014671361502347418,-1.905371623681483e-06,-1.8205171608906484e-05
bout,-0.09055104057124488,0.4070177322413481,-0.0010498363449961484,-1.2351015823484098e-05,-9.506377346891367e-05
br,0.06427949355790255,0.561304422441551,-0.00016764489275237408,-2.0198179849683625e-06,1.0776128803691494e-05
brah,-0.017230238444214865,0.8809795498350574,-0.0001981445586075428,-2.573305955942114e-06,-3.4140779912316694e-06
brb,-0.13440518944157762,0.23762440287467065,-0.0007488841162848616,-9.601078413908482e-06,-0.00010065391151905526
bro,0.11752170622276588,0.2755052131512669,0.001329156547866674,1.5277661469731887e-05,0.00015620474534245292
bur,0.060627448508531606,0.5838030286462303,-0.0002754820936639118,-3.3190613694447207e-06,1.6701776448631296e-05
cmon,0.23292698174059498,0.03884655543978719,-7.799723277229721e-05,-9.999645227217591e-07,1.8167660013769808e-05
cya,-0.011684266928645335,0.9235200596228774,-3.916012270665292e-05,-5.675380102413467e-07,-4.57557326663038e-07
cb,-0.03268675169638135,0.7821879439617077,-0.00013792256263388608,-1.8893501730669326e-06,-4.508240558142439e-06
ct,0.13852440302406738,0.19805624426397644,-7.784202184953027e-05,-8.947358833279341e-07,1.078301960689259e-05
cam,-0.021128060448678227,0.8450902539106011,-0.0009175005296300387,-1.0545983099195848e-05,-1.9385006651717746e-05
cba,-0.05047575562897771,0.6545094506441377,-0.000603991554927396,-7.5498944365924505e-06,-3.0486930128481508e-05
chillin,-0.12037894399490788,0.28136141487846417,-0.00024447483098893137,-3.018207789986807e-06,-2.942962198778114e-05
cig,0.021858669855286623,0.8444964781493338,-0.0004858739715497249,-5.9252923359722546e-06,1.0620558735382363e-05
cod,0.03969924975719693,0.7166709345223983,-0.00022118064343954188,-2.6021252169357868e-06,8.780705605363893e-06
comin,0.09611293789180289,0.37585042859455575,-0.0002908759596075473,-3.382278600087759e-06,2.795694303997876e-05
comp,0.2081849644380441,0.06560347578977976,-0.00012968889066440462,-1.662678085441085e-06,2.6999277090978465e-05
convo,0.0039261312187898285,0.973148210267061,-4.676663231711824e-05,-6.235550975615765e-07,1.8361193513790323e-07
coo,0.10191439865138109,0.38427371507925434,4.6896747244089894e-05,6.337398276228364e-07,4.779453794087235e-06
cos,0.3471692995106977,0.000986161162497687,-0.00033230021676416527,-3.863956008885643e-06,0.00011536443348126826
cp,-0.08530638668940806,0.4761672294194734,-0.00014274362841296197,-2.0104736396191826e-06,-1.2176943162845307e-05
cr,0.1573296240224003,0.1633935603717351,-9.523383264713412e-05,-1.2054915524953686e-06,1.4983103084585802e-05
ctrl,-0.27043530963260576,0.01399957909689184,-0.0001150495605875401,-1.4203649455251865e-06,-3.1113463540586644e-05
cu,0.0993741734101943,0.3597909018144281,-0.000339653921080391,-3.949464198609197e-06,3.3752827652895225e-05
cunt,-0.13614010682646532,0.24416591936759277,-0.0001421966464439739,-1.921576303296945e-06,-1.9358666637247726e-05
dw,0.0225669954114038,0.8435083719957518,-0.00022675736961451246,-2.907145764288621e-06,5.1172325195926976e-06
dl,-0.04704784524800339,0.6670809609956172,-0.0007065269033511008,-8.312081215895304e-06,-3.324056841241364e-05
dm,0.35484539031656903,0.0012393360824090739,0.00020572051872884615,2.6040571990993185e-06,7.299897776446447e-05
da,0.04396084475752978,0.691321200055412,4.086351170639647e-05,4.923314663421262e-07,1.7963944943723961e-06
dat,0.42576894804865384,0.00013994454755443964,0.000554919043388713,7.4989059917393655e-06,0.00023626729735577766
dawg,-0.0979890288905718,0.3637389273212358,-0.001329734223998998,-1.5284301425275837e-05,-0.00013029936529221987
db,0.02940337958396917,0.7856657848904196,-0.0013377545241517646,-1.5376488783353615e-05,3.933450406380638e-05
dbag,-0.17459578578480303,0.13680003278376243,-9.410878976096367e-05,-1.289161503574845e-06,-1.6430998097572277e-05
ddg,0.2205122279889128,0.04256462671457841,-2.5149365632870578e-05,-2.993972099151259e-07,5.545742648212085e-06
dem,0.19139670971662304,0.10727577077751203,0.00021715088389593062,3.0584631534638116e-06,4.156196468973755e-05
der,0.021858617921797486,0.8454534348562801,-0.0003365938636603171,-4.1554797982755195e-06,7.357476660572466e-06
df,-0.05201251813106388,0.6303244565624311,-0.0006577905150684571,-7.5608105180282425e-06,-3.421334109143998e-05
dfw,0.2880879788851383,0.007503048631085356,0.0009256871099754012,1.10200846425643e-05,0.0002666793285928381
diff,0.13673945251608052,0.20932629168081512,-0.0007403162506041022,-8.709602948283555e-06,0.00010123043879636241
dis,-0.12216452943607646,0.296428435128662,1.0847587714738827e-05,1.465890231721463e-07,-1.325190448687633e-06
diy,0.11280672521304264,0.29536037351741035,-0.00020878513188295905,-2.3998291021029774e-06,2.355236700088983e-05
dk,0.3662313263648449,0.0006615397167975505,-1.9625777641937988e-05,-2.393387517309511e-07,7.187574576748468e-06
doa,-0.003935146645316608,0.9718346878194386,-0.00031036623215394165,-3.784954050657825e-06,-1.221336637280139e-06
dogg,-0.21629611073233615,0.07210834464769794,-0.00015386408375810446,-2.229914257363833e-06,-3.328020289827241e-05
dt,-0.26975070783821925,0.012014901266064335,-0.0007262659513971348,-8.544305310554528e-06,-0.00019591075446817485
dui,-0.04252485386171501,0.7062139801711356,-0.00032814510075639244,-4.101813759454906e-06,-1.3954322455103337e-05
dum,-0.01695266860722222,0.8813535627374536,-0.00040577850873587794,-5.136436819441493e-06,-6.879028586532166e-06
dun,-0.09061724659432725,0.44904078449234675,-0.000299305361318732,-4.2155684692779155e-06,-2.7122227733623757e-05
dupe,0.023222151678024917,0.8400664841223888,-0.00023347704759657198,-3.0321694493061296e-06,5.421839412625037e-06
dwi,-0.23356889512201262,0.0467265667736352,-0.00022967587569146808,-3.189942717937057e-06,-5.364514052143691e-05
effin,-0.008059522219994853,0.9441684381578743,-6.173255925692336e-05,-8.017215487912125e-07,-4.975349330283229e-07
epa,-0.19898556084339303,0.0787375340972386,-0.00027885802996377115,-3.5751029482534763e-06,-5.54887214880247e-05
evar,-0.1740146736718309,0.1156410741823954,-0.0005131237341815167,-6.25760651440874e-06,-8.929105915686793e-05
exp,0.053145720427937554,0.6290487768095254,-0.0002759381898454746,-3.2849784505413644e-06,1.4664933892918751e-05
fb,0.1869044692739656,0.10131353059875488,0.0004585320926740283,5.954962242519848e-06,8.570169742632006e-05
fml,-0.14236819399852782,0.21071075968792002,-0.0004069409677932232,-5.2171918947849135e-06,-5.7935450648734265e-05
fu,0.137120265044398,0.23125759193315668,-2.6590407380998674e-05,-3.453299659869958e-07,3.646083707721055e-06
fam,0.13676948093397714,0.21197357755378438,-0.00012529229631738067,-1.4915749561592937e-06,1.713616233235421e-05
fap,-0.26705661355943927,0.014060387751261083,-0.0005291604295340286,-6.375426861855766e-06,-0.00014131579234101597
faq,-0.12583702121588927,0.24548885328084535,-0.00014145548602985508,-1.6448312329052916e-06,-1.7800336996642803e-05
fc,0.0571566614035004,0.598998604995124,-0.0003796507213363705,-4.414543271353146e-06,2.1699567731017614e-05
fe,0.31838889774857865,0.0047726623846653495,0.0005505040286186149,7.243474060771249e-06,0.0001752743708780328
ff,-0.06769212333045192,0.5720854717861331,9.48266347317999e-06,1.335586404673238e-07,-6.419016253276714e-07
ffs,0.16833734934002623,0.15750867245072728,6.187513315279188e-05,8.714807486308715e-07,1.0415895905002165e-05
fi,0.10271858084839619,0.3645735876885894,-0.0001756190940023006,-2.2230265063582356e-06,1.8039344105797406e-05
flames,0.14218194316638597,0.20258148995152364,-0.00015777324651700372,-1.9478178582346137e-06,2.2432506769456824e-05
fm,-0.07634013949535827,0.5209183131573671,-7.759155803848541e-05,-1.0776605283122975e-06,-5.923350364320164e-06
foo,-0.014169981055540484,0.9000850290551526,-0.0002134012293774471,-2.6675153672180888e-06,-3.0238913775074747e-06
fri,-0.2372033565552292,0.029815121896300457,-0.000545571219325184,-6.573147220785349e-06,-0.00012941132446386277
fucktard,-0.08450232687937136,0.44194410358342606,-0.00019594458933351556,-2.332673682541852e-06,-1.6557773738104916e-05
fukin,-0.17345705219807642,0.14800244743569915,-8.366800535475234e-05,-1.1952572193536049e-06,-1.4512805572128214e-05
gf,-0.14037521985538404,0.20005722736326445,-0.0017312636744005292,-2.0610281838101537e-05,-0.00024302651892161428
gb,-0.1275484301331572,0.26577602434453473,-0.0005491199842058116,-7.131428366309241e-06,-7.003939194019534e-05
gd,-0.2718883021873221,0.016038628752166637,-0.000207315130352907,-2.6924042902974936e-06,-5.636655880939524e-05
gis,-0.1108112049467847,0.321641737702756,-0.00011492263158400894,-1.4187979207902338e-06,-1.2734715281479448e-05
gl,-0.07211570998086589,0.509351808002602,-0.0002641043216763577,-3.1071096667806785e-06,-1.9046070666705523e-05
gm,0.02704399195404525,0.8215895981195956,5.797600633850638e-06,8.165634695564279e-08,1.5679026489462428e-07
goin,0.05307201155265293,0.6274565290459562,-0.00030160792742134985,-3.5483285578982337e-06,1.6006939408477587e-05
gotcha,0.5503235571143394,7.062801641419856e-08,0.001094299551459457,1.3345116481212891e-05,0.0006022188217077945
goya,0.12623668035926242,0.29417248842480487,-3.987749913650046e-05,-5.696785590928637e-07,5.0340031120211714e-06
gp,0.059596980887323896,0.5857004551458073,-0.00029796759869223636,-3.5055011610851336e-06,1.7757969284303007e-05
grats,-0.04598505025805117,0.6972393991772938,-0.00020929510558195493,-2.8670562408486975e-06,-9.624445948950323e-06
grog,0.06439171570023637,0.5630343067101258,-0.00031036623215394165,-3.784954050657825e-06,1.9985014183810172e-05
gt,0.05091374148611361,0.6579932214685629,1.91019599651058e-05,2.4807740214423116e-07,9.725522515414884e-07
gta,-0.001684452770510243,0.9886356957172462,-0.00012759283305767422,-1.747847028187318e-06,-2.1492410114125026e-07
gtfo,-0.23003059658680666,0.04276152004337065,-0.0007876845141407972,-1.0229669014815548e-05,-0.0001811915387099965
guru,-0.03278755197381927,0.7671691427892124,-0.00023520498717124225,-2.8337950261595453e-06,-7.7117957413786e-06
ho,0.1040722098075414,0.3402882132435502,-8.747711353655866e-05,-1.0291425121948077e-06,9.103936513334852e-06
hw,-0.08538267055512071,0.482189733598994,9.366571636284238e-06,1.3574741501861215e-07,-7.99742900251795e-07
h2o,0.022617932640435368,0.844174844844054,-9.932731703942923e-05,-1.289965156356224e-06,2.2465785661529786e-06
hai,0.05792082291408889,0.6052415983805951,-0.00020275750202757503,-2.5031790373774693e-06,1.1743881369442193e-05
havnt,0.1308112654483717,0.27688172993959204,-0.0001147814532342425,-1.6397350462034643e-06,1.501470714757436e-05
hella,0.17317672427007638,0.11973464968986007,-0.0002347436838208534,-2.89807017062782e-06,4.065214220718592e-05
hf,0.4910121937747981,1.1913737191560321e-05,0.0010712827411774874,1.5088489312358977e-05,0.0005260128888986374
hg,0.026250221649418985,0.8126388252949054,-0.00023169158744565995,-2.7914649089838547e-06,6.081955524754315e-06
hijack,0.021077460651288085,0.852777227801624,-0.00017930144535805557,-2.2696385488361464e-06,3.779219159253497e-06
hl,0.33909797820127724,0.0023894029632346887,-0.00010279617980169114,-1.335015322099885e-06,3.485797673756844e-05
homie,0.25007333504866286,0.027234354838610097,-0.0002652498291153081,-3.444802975523482e-06,6.633190938795301e-05
homo,-0.11079132753295007,0.31276683887823087,-0.0004952364354595097,-5.895671850708449e-06,-5.486790212724523e-05
hr,0.37375578286873395,0.000813163423323261,0.0005089291165757094,6.696435744417228e-06,0.0001902152003904474
hrs,0.08475654301931257,0.4350801774085179,-0.0005878090914885746,-6.8349894359136585e-06,4.9820666549894415e-05
hs,-0.1886710493992503,0.11246752196220137,-0.00027754765330626575,-3.909121877553039e-06,-5.236520700759246e-05
hubby,-0.03560664041914817,0.7538532764407744,-0.0002192982456140351,-2.7759271596713303e-06,-7.808473776128984e-06
hy,-0.028833500161126024,0.8021301045645892,-0.0009006367735470773,-1.1696581474637367e-05,-2.5968510555185676e-05
ianal,0.04891708019219527,0.6546814556548968,-0.0003458056688798229,-4.0683019868214465e-06,1.6915803635510023e-05
ib,-0.027627753836570637,0.8114834289191357,-0.000169548999660902,-2.2309078902750262e-06,-4.6842580258681985e-06
ic,0.1924607435771886,0.07761997161805821,-0.0001563561069961966,-1.8613822261451975e-06,3.0092412615322456e-05
idk,0.7440156002676368,1.7442897651945566e-15,0.002577402805604243,3.221753507005304e-05,0.001917627895543132
ij,0.15003684640486073,0.17578482377290047,-0.0004360595200913538,-5.317799025504314e-06,6.542499523932374e-05
ima,-0.31903250536524685,0.006692802005582338,-0.00023646362027676584,-3.378051718239512e-06,-7.5439581204633e-05
indie,0.22662208357569322,0.03701175132539849,-6.589911565184695e-05,-7.845132815696065e-07,1.4934194894817132e-05
intel,-0.19219865456505406,0.10578416798208097,-0.00015728402420045316,-2.2152679464852556e-06,-3.02297778359045e-05
ip,0.3459116373981063,0.0013595344675522956,2.1773636475931146e-05,2.655321521455018e-07,7.531754245500477e-06
irl,-0.35021868749517604,0.0017937445463709813,-0.0004938422425862431,-6.49792424455583e-06,-0.00017295278202822837
iso,0.4876219083856265,1.9186116615645017e-06,0.0006959532544498683,8.187685346469039e-06,0.0003393620540820323
ite,-0.23870304043573828,0.04054508290549562,-0.00018821757952192734,-2.57832300714969e-06,-4.492810849533941e-05
itt,0.5331534659084275,1.005879991393719e-06,0.0009730148508990971,1.3328970560261603e-05,0.0005187662401372255
jj,-0.13327994252203088,0.23855867731717573,-0.00030455481366373693,-3.855124223591607e-06,-4.0591048059910684e-05
jk,0.2922228610331085,0.007347165461949584,0.0005756786102194582,7.020470856334857e-06,0.0001682264505138938
jp,-0.3135476267997234,0.005490390157015317,-0.00012105845357297487,-1.5928743891180904e-06,-3.795759082185077e-05
js,-0.07051236168670011,0.539573349776149,-0.00014671361502347418,-1.905371623681483e-06,-1.034512348689849e-05
jw,-0.09649529165375123,0.37678750713713205,-0.0003598728645496674,-4.233798406466675e-06,-3.472603702299106e-05
jsut,-0.14622099165229668,0.2271052035960895,-7.846829880728185e-05,-1.1372217218446644e-06,-1.147371246486948e-05
jus,-0.07636709336496383,0.48464095605555657,-0.00038580246913580245,-4.5388525780682645e-06,-2.9462613180927403e-05
ka,0.11758276565174004,0.29892162568376807,-0.00017930144535805557,-2.2696385488361464e-06,2.108275983055452e-05
kay,-0.1380799189478609,0.22797761142263054,-0.00014671361502347418,-1.905371623681483e-06,-2.025820407098898e-05
kfc,-0.012193700783881345,0.9139627088824447,-0.0006472905715876155,-8.091132144845194e-06,-7.89286755016691e-06
kicks,-0.39775268185168133,0.00014922370950570734,-0.0017173300832910138,-2.0203883332835456e-05,-0.000683072646253572
kkk,0.15662496603863313,0.18573869453243905,-6.760210364046707e-05,-9.389181061175981e-07,1.058817718682831e-05
km,0.10111581255160662,0.38802975036323306,-0.00011399594682312158,-1.5404857678800213e-06,1.1526792790609678e-05
kool,-0.03993906565636175,0.7117907674377565,-0.0005744115265128862,-6.602431339228577e-06,-2.294145967116914e-05
ks,-0.4362105499405875,2.4062334376484276e-05,-0.0010718332512411426,-1.2463177340013286e-05,-0.0004675449719685067
lam,0.20379766101231447,0.088252302644318,3.5225453339175094e-05,5.032207619882156e-07,7.178864998622307e-06
lat,-0.31682037450642275,0.006315644057452753,-0.0006852402058495476,-9.517225081243717e-06,-0.0002170980586441119
lawd,0.16075801663710237,0.1569813589148564,-0.00022675736961451246,-2.907145764288621e-06,3.645306499707537e-05
legit,0.363844515914963,0.0004928697450564368,0.0015494163696178358,1.7809383558825697e-05,0.0005637466489543208
lemme,0.05152800977007638,0.6395399508145463,-2.2316783520112053e-05,-2.6567599428704825e-07,1.1499394392610134e-06
lf,-0.09042414246500474,0.45660572849825265,-7.846829880728185e-05,-1.1372217218446644e-06,-7.095428630336216e-06
liek,0.03453985396678334,0.7640152296560556,-6.292630854924278e-05,-8.172247863538024e-07,2.173465507959596e-06
lil,-0.049037428163397206,0.6558305553674773,-0.0005214631971767982,-6.207895204485693e-06,-2.5571214071412675e-05
lmao,0.42175401983049254,5.24735383263782e-05,0.00029845829360597247,3.5112740424232054e-06,0.00012587598508006828
ln,0.06997402508640468,0.5591702134776547,1.421885159786527e-05,2.0026551546289113e-07,9.949502784088898e-07
lt,0.008082340066775318,0.9407733702884148,-0.0003796507213363705,-4.414543271353146e-06,3.0684662364370985e-06
lug,0.09091519923499944,0.399557239611781,-0.00037699179897192185,-4.3332390686427796e-06,3.427428451349313e-05
